184.8000031	310.8000183	162.4320221	312.7680359
852	335	823.2000122	336
682	185	670	185
501.1200562	342.144043	487.296051	342.144043
184.8000031	310.8000183	162.7200012	312.480011
852.000061	334.8000183	824	335
523.5840454	342.144043	509.7600403	342.144043
505.2286377	340.4022827	490.8959045	340.4022827
852	335	824	335
525.6000366	340.8000183	511.2000122	342
852.000061	334.8000183	823.2000122	336
679.3115234	171.6941223	666.8699341	171.6941223
314	330	300	330
222.1572723	304.5704651	204.2413635	304.5704651
320	339	306	339
185	311	163	311
522.5473022	340.8999329	507.6174011	340.8999329
680.1408691	182.4768219	667.6992798	182.4768219
223.9488525	304.5704346	203.0469666	304.5704346
522.5473633	340.4022827	507.6174316	340.4022827
375.6000061	318	358.5600281	318.2400208
313.9200134	329.7600098	299.5200195	329.7600098
638.6688843	89.16481018	620.0064697	89.16481018
679.2000122	355.2000122	661.2000122	356.4000244
495.9360352	336.960022	483.8400574	336.960022
223.2000122	335.5200195	206	337
185	311	163.2000122	312
308	131	294	131
343	356	328	357
376	318	360	319
682.5600586	183.1680145	668.736084	183.1680145
222.0000153	303.6000061	203.9040222	304.1280212
314.4000244	330	300	330
361	117	345	118
184.3200073	311.0400085	162.4320221	312.7680359
686.8800049	144	673.9200439	144
316.2240295	324.8640442	302.4000244	324.8640442
129.6000061	302.4000244	105.4080124	302.4000244
319.6800232	338.4000244	306.7200012	338.4000244
184.3200073	311.0400085	162.7200012	312.480011
531.5053101	328.458313	516.5753784	328.458313
320.4000244	338.4000244	306	339.6000061
404.6400146	312.480011	393.1200256	313.9200134
705.6000366	403.2000122	684	403.2000122
525.6000366	340.8000183	511.2000122	341.2799988
524.1600342	341.2799988	511.2000122	341.2799988
373.2480469	317.9520264	357.6960449	319.6800232
360	116.4000015	344.4000244	117.6000061
359.4240417	115.7760086	343.8720398	115.7760086
313.1136475	329.7024536	298.5984497	329.7024536
682.8000488	184.8000031	670.8000488	186
504.6314392	340.4022827	492.6875	340.4022827
343.8720398	354.2400208	330.0480347	354.2400208
346.8000183	352.8000183	331.2000122	354
370.7597656	320.9933472	355.829834	320.9933472
944	436	906	437
500.1524353	340.8999329	487.7108459	340.8999329
185	311	162.7200012	312.480011
682.5599976	184.3200073	669.6000366	184.3200073
530.3109131	329.6527405	515.9782104	329.6527405
682.8000488	184.8000031	669.6000366	184.3200073
686.8800049	144	674.4000244	142.8000031
184.8000031	310.8000183	163.2000122	312
682.5599976	184.3200073	668.736084	183.1680145
573.6000366	310.8000183	559.8720703	312.7680359
1015.234863	498.6594543	970.4450684	498.6594543
184.8960114	311.0400391	161.7408295	313.1136475
128.1600037	300.960022	105.4080124	302.4000244
495.1758118	335.9232788	483.1488647	337.9968567
223.2000122	336	206	337
522.5473022	340.8999329	507.6174316	340.4022827
374.4000244	318.2400208	358.5600281	318.2400208
522.5473022	340.0704346	508.032074	340.0704346
423.3600159	315.3600159	410.4000244	315.6000061
522.5473633	340.4022827	508.8118286	340.4022827
500.1524353	340.8999329	487.2960815	342.144043
261.2736511	68.42881012	240.5376282	68.42881012
680.1408691	172.1088257	667.6992798	172.1088257
686.8800049	144	673.9200439	145.1520081
958	410	919	411
130.8000031	301.2000122	106.8000031	302.4000244
447	307	434.4000244	307.2000122
354.7350159	114.6618195	340.4022827	116.4534073
376	318	358.8000183	318
347	353	332	354
184.8000031	310.8000183	163	311
131	301	107	302
637.0100708	89.57954407	619.5917969	89.57954407
184.8960114	311.0400391	162.4320221	312.7680359
504.6314392	340.4022827	490.8959045	340.4022827
184.3200073	311.0400085	161.7408295	313.1136475
184.3200073	311.0400085	300	330
443.5200195	305.2799988	432.0000305	306
679	355	660	356
185	311	162.4320221	312.7680359
522.5473022	340.0704346	509.7600403	342.144043
522.5473022	340.0704346	507.6174011	340.8999329
679.3115234	181.6473999	666.8699341	181.6473999
495.1758118	335.9232788	482.7341919	335.9232788
358.5600281	116.640007	344.1600037	116.640007
